0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_Ser_to_His,dist_SerH_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser238,dist_Ser238_2,dist_Ser238_3,dist_Ser238_4,dist_Ser238_5,dist_Ser238_6,dist_Ser238_to_His,dist_Ser238H_to_His,dist_His273_Asp,dist_His273_Asp2,sasaSer,sasaSer238,sasaLig
21,-11554.279105691057,-29.72978243089431,33.213375609756106,32.018360162601624,2.8078560162601627,1.9169744715447155,1.5755739837398377,3.0277295934959354,16.161635853658535,14.393660162601627,13.85353650406504,15.461059918699185,14.601097642276422,14.662477398373985,3.0059646341463417,2.0953426016260166,3.419342926829268,1.5353365853658536,0.0015284552845528457,0.004975609756097562,0.5234327073170733
22,-11629.077860058309,-50.90365567935861,35.60919947521865,31.706341865889215,2.8070516151603506,1.914530425655976,1.5722218250728868,3.0577797842565593,17.853398017492708,21.155319241982507,19.87492734693878,15.481173644314872,17.947661107871724,21.88598489795919,3.013405889212829,2.0918771661807587,3.460884513119533,1.5325549737609332,0.00011253644314868805,0.04406064139941691,0.4819162851311954
23,-11596.34800767918,-37.31242474023037,31.272240998293515,33.63100469283277,2.802342346416382,1.9115692875426622,1.5763154863481228,3.097364091296928,8.548869547781571,13.897137691979522,13.51151201791809,8.107172879692833,13.13973119880546,13.376609261945394,2.8912919880546073,1.954490170648464,3.367359227815699,1.5251777175767918,0.00011092150170648464,3.924914675767918e-05,0.46693029479522186
24,-11614.338204558087,-48.18270510505837,36.53198604780434,36.542818788215676,2.803550100055587,1.913040144524736,1.5696611228460253,3.0525917620900502,13.93450545302946,17.17344763757643,16.924760311284047,13.171834018899387,11.922660422456921,15.365581045025014,3.0435955586436907,2.147193296275709,3.365083023902168,1.5441216342412452,0.0001122846025569761,0.0002351306281267371,0.474147021122846
25,-11622.259002920317,-59.28356884897789,35.42452799332499,37.183228827701285,2.8114220317062997,1.916273483521068,1.5869718356278681,3.135349904046725,21.965317813934085,21.648621818940338,20.925744096787653,22.489953233208176,18.178382436378808,15.370490446391322,2.996546211931581,2.079673842302878,3.4553984730913645,1.5320161827284107,0.0002077596996245307,0.05308719232373801,0.4677071380892783
26,-11607.740634615386,-42.996158290384614,34.96020442307692,36.940363269230765,2.808554846153846,1.91774525,1.5753343846153847,3.0638177115384613,21.4036405,19.949318653846156,20.081230384615385,22.048700769230773,18.28149846153846,18.35536153846154,3.0762580961538464,2.1581303653846153,3.4340839230769236,1.534811326923077,0.000401923076923077,0.044326923076923076,0.44096475
27,-11604.663389355743,-43.45082330532213,32.83359775910364,33.04925518207283,2.8038280112044816,1.9082972268907563,1.5744718767507002,3.0759451540616243,11.04964450980392,13.567250840336136,14.310380112044818,12.537049327731092,15.488250980392156,16.694852100840336,3.0421929411764705,2.136330308123249,3.463060280112045,1.5361745938375353,0.00024369747899159665,0.04207282913165265,0.4475819971988795
28,-11583.995677419356,-56.76968819354839,32.816288387096776,32.69537677419355,2.804422193548387,1.909306193548387,1.5739849032258066,3.0558469032258064,17.224633032258065,15.337165161290322,12.572792258064515,14.12026206451613,12.828125806451613,9.897263096774195,3.0151440645161296,2.101815935483871,3.353812064516129,1.531768064516129,0.001735483870967742,0.041793548387096764,0.42830152258064513
29,-11619.33900913242,-65.39053208173516,25.63614589041096,25.399492328767124,2.8043625707762563,1.9144079452054794,1.5706131598173514,3.0659362648401824,11.302266977168948,7.635791470319635,11.50379799086758,14.71939405479452,13.930983652968036,11.49987689041096,2.949258520547945,2.002546219178082,3.438899776255708,1.5242598493150685,8.858447488584475e-05,0.0012045662100456619,0.35296831050228306
30,-11585.209416961132,-66.80536291590107,33.84764929328622,34.810303003533576,2.785369187279152,1.8908767844522967,1.5670630212014134,3.0557152120141344,15.005711872791517,15.316508798586574,15.95852980565371,15.746091978798589,12.226325795053004,12.986090424028268,3.0502361130742055,2.164343816254417,3.363458038869258,1.5454004593639576,0.0002756183745583039,0.00013604240282685513,0.5019901007067138
