0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His129_Asp,dist_His129_Asp2,sasaSer,sasaSer133,sasaLig
57,-11652.860250544658,-53.360698717320275,19.26952331154684,18.486733877995647,20.079012200435727,2.808044302832243,1.5873098692810461,3.088010806100217,10.63842822440087,9.040101318082787,11.097469204793029,4.128836928104575,5.071916034858388,4.434344411764707,0.0029215686274509808,0.012868191721132897,0.38724967647058817
58,-11674.822715447153,-59.35516157235772,23.298865962059622,24.18053636856369,18.406525582655824,2.8277395121951225,1.5849590731707315,3.0861926449864496,11.956022802168022,6.354198493224933,6.991858471544715,4.432871972899728,3.024961907859079,1.5364007100271002,0.0058623306233062345,0.0766130081300813,0.4440354720867209
59,-11650.105463875205,-61.07713898891626,22.920767775041053,21.81810357142857,19.578390476190474,2.820672278325123,1.5810779556650247,3.0795746674876847,12.065916588669952,11.614398669950738,7.976124232348111,5.614040012315271,2.84033828817734,4.628795328407224,0.006144088669950739,0.1324027093596059,0.41540679885057474
60,-11674.195788819878,-46.663320259254654,18.918840993788816,19.38601118012422,20.896535527950313,2.818133341614907,1.588518633540373,3.102814795031056,7.967950981366459,10.566067068322983,11.187503751552795,4.950241652173912,5.10060203726708,3.4849477515527956,0.0380807453416149,0.06033416149068323,0.46629438509316773
61,-11649.998443396225,-44.087615959119496,16.710586477987423,18.321606603773585,20.24901871069183,2.805457924528302,1.584245786163522,3.0687684276729557,5.204063286163522,9.942449119496855,11.226174150943397,4.938328757861635,3.1241038993710695,1.743407562893082,0.0004088050314465409,0.0009040880503144653,0.4529367468553459
62,-11645.617058080807,-47.48644019949495,25.94744381313131,23.920714267676765,23.436572601010102,2.80261130050505,1.5827538888888888,3.0898749242424244,15.20351205808081,13.697960795454547,12.495700656565656,3.115847462121212,6.325130025252525,5.387985429292929,0.00016035353535353536,0.03805681818181818,0.4609467676767677
63,-11651.665,-40.15650478868501,22.67216513761468,23.516816360856268,24.836056422018352,2.797489266055046,1.581087981651376,3.074180626911315,15.423946819571865,18.676446788990823,18.77426620795107,4.339422752293578,1.6315359174311928,3.0108196177370035,0.0003333333333333334,0.058608562691131495,0.4419936865443425
64,-11631.181017639077,-40.19718055630936,23.659191180461328,21.891810719131612,22.130000678426057,2.8011700542740847,1.5794730393487109,3.0725244097693354,12.496791791044775,12.418374314789688,11.204876662143826,4.462100800542741,3.3136972455902303,3.8084326051560375,0.0017815468113975578,0.05113025780189958,0.46152305291723206
65,-11621.434257575756,-46.212947179848484,21.2585503030303,17.894683636363634,20.061426666666666,2.824995015151515,1.584166454545454,3.0968255454545455,13.581303181818178,15.179974484848483,13.720323227272726,3.806632606060606,4.531450651515151,4.4264868030303015,0.021437878787878784,0.025153030303030302,0.4467349318181818
66,-11645.282577319585,-42.73118905998125,21.68613139643861,19.76768847235239,20.51980909090909,2.7923272071227743,1.5960536832239922,3.1042874789128394,10.86710633552015,12.853224208059983,11.7415514339269,4.103131583880038,1.6872576194939082,3.029135932521087,0.00011246485473289598,0.06279475164011247,0.4996146766635426
