0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His_Glu,dist_His_Glu2,sasaSer,sasaSer133,sasaLig
38,-11480.623921568627,-7.522414725490196,24.46152352941177,23.75489215686275,25.09362352941176,2.8268790196078437,1.58017,3.0466200000000003,14.022793137254903,15.042319803921568,14.041508627450982,4.46035274509804,1.8263492156862746,2.4963039215686273,0.009784313725490197,0.0008235294117647059,0.6646910588235296
39,-11512.980399999999,-28.10263634,22.520501999999997,20.963043999999996,22.606936,2.8007747999999992,1.5775561999999999,3.0426081999999997,11.8173582,11.804603400000001,9.977053799999998,4.9749674,6.2158337999999995,6.257273000000001,0.0016199999999999997,0.00046,0.59796324
40,-11494.216470588235,-7.645488230882354,26.59477205882353,26.249370588235294,26.26446323529412,2.8280517647058816,1.5827282352941177,3.0626913235294118,15.202680588235292,15.241471617647058,14.714402647058822,3.8143720588235293,1.5962814705882356,3.727493088235294,0.009308823529411767,0.009705882352941177,0.695134073529412
41,-11459.400454545455,-7.447639772727272,24.83524545454545,24.88797954545454,24.423000000000002,2.828634545454545,1.586800909090909,3.0153197727272727,13.562529318181822,13.500627045454543,13.227506818181821,4.742945000000001,2.889355909090909,3.4132670454545457,0.019954545454545457,0.002272727272727273,0.7415357500000002
42,-11518.811923076923,-19.02971578846154,19.715598076923076,20.408753846153846,21.314615384615383,2.8345611538461535,1.5867763461538462,3.047197115384616,8.59654173076923,10.739049615384614,10.26865,4.825979423076922,1.7774100000000002,2.3034048076923077,0.014673076923076924,0.020288461538461536,0.5667822692307694
43,-11478.191555555557,-14.806322666666668,20.908291111111115,20.152933333333333,21.055042222222216,2.827849333333333,1.581584888888889,3.0281975555555554,9.928504222222223,10.877411555555556,9.929028222222222,4.3008646666666674,2.2889793333333337,3.1572668888888895,0.0094,0.012244444444444445,0.6676554666666666
44,-11498.00235294118,-4.767309509803921,26.807252941176472,26.191370588235294,27.004949019607846,2.826722745098039,1.582440392156863,3.0174725490196077,15.32048980392157,15.854618039215685,15.042515882352944,4.227803529411765,1.695992156862745,2.4085750980392158,0.01003921568627451,0.0033725490196078434,0.7417332745098039
45,-11467.495,-14.364283194444445,22.29683888888889,22.314655555555554,21.722288888888887,2.824901388888889,1.5770938888888892,2.9942405555555553,9.868019444444444,10.2613275,9.860135,3.540097222222222,2.8146672222222224,1.6921466666666667,0.004944444444444445,0.04075,0.6523361944444445
46,-11548.406739130436,-7.9114606739130435,25.945558695652164,25.040591304347828,27.691077173913037,2.8239645652173917,1.5890419565217386,3.0841171739130435,14.659555543478257,17.05694391304348,16.56613434782609,4.544708260869567,2.852103804347826,3.688179130434782,0.004869565217391305,0.07639130434782605,0.6914789565217392
47,-11527.350357142856,-17.48167823214286,22.275814285714286,22.47754464285714,22.34305,2.828983928571428,1.5871894642857143,3.0508208928571428,10.815165357142856,10.98206,11.218541071428572,4.322395892857143,2.336301785714286,2.675893392857143,0.011000000000000001,0.02575,0.6416410357142858
