#Task    Step    numberOfAcceptedPeleSteps    currentEnergy    bindingE1    dist_1    dist_2    dist_3    sasaLig1    
1    1569    222    -19739.6    -16.2133    25.4131    25.9389    26.5434    0.544967    
1    1571    223    -19739.9    -14.4708    28.3977    25.1902    26.7447    0.55673    
1    1572    224    -19742.4    -16.5288    26.0397    30.1751    24.6555    0.555782    
1    1575    225    -19743.3    -18.4243    25.1409    27.0802    26.0337    0.512457    
1    1583    226    -19743.7    -14.8656    28.0214    25.358    26.7244    0.534642    
1    1584    227    -19746.3    -15.9541    27.0058    26.8692    25.5776    0.533074    
1    1585    228    -19746.5    -16.5847    26.8281    25.4492    27.3521    0.546278    
1    1601    229    -19749.7    -17.8443    25.6482    25.3612    28.7627    0.530313    
1    1612    230    -19742.1    -11.8428    27.8096    26.4998    25.2857    0.620165    
1    1614    231    -19746.6    -17.759    26.3924    25.55    28.0467    0.552514    
1    1662    232    -19741.7    -14.695    27.7317    25.3126    24.576    0.526826    
1    1667    233    -19744.6    -20.361    24.8495    25.6374    27.4261    0.514544    
1    1703    234    -19737.4    -13.9057    26.5067    25.677    29.9902    0.610823    
1    1705    235    -19738    -14.2042    25.869    24.9189    27.9124    0.571347    
1    1707    236    -19739.2    -16.7577    25.6969    29.5469    25.7301    0.55508    
1    1710    237    -19739.4    -9.85276    29.3872    26.3818    27.5341    0.605518    
1    1711    238    -19739.8    -10.672    28.5136    25.2567    31.2884    0.644584    
1    1721    239    -19739.6    -13.2614    27.5403    31.2951    26.1929    0.610237    
1    1722    240    -19737.5    -9.55779    28.2305    25.0947    30.7547    0.683323    
1    1723    241    -19734.2    -9.00377    27.3209    31.2466    27.5365    0.671675    
1    1724    242    -19734.5    -4.71607    28.2133    29.7622    27.7986    0.673221    
1    1725    243    -19739.1    -12.139    29.263    29.1808    25.6694    0.675686    
1    1738    244    -19742.3    -14.6858    26.7772    24.9974    30.6049    0.601629    
1    1749    245    -19736.6    -11.2913    27.9069    26.6784    26.8382    0.636663    
1    1754    246    -19734    -6.99182    29.9055    29.2357    26.1145    0.721574    
1    1758    247    -19735.2    -6.18428    29.1535    27.5765    30.4452    0.765391    
1    1760    248    -19734.8    -5.41199    30.416    27.5648    27.1952    0.694675    
1    1762    249    -19746.4    -16.8514    26.668    28.1924    28.3372    0.557671    
1    1950    250    -19742.4    -14.0795    29.0577    28.3633    27.6423    0.655411    
1    1954    251    -19743.6    -16.0626    28.3941    26.511    29.1456    0.563086    
1    1973    252    -19741.7    -18.5868    27.9356    27.6643    26.9696    0.55478    
1    1985    253    -19740    -15.8013    25.7686    29.2371    27.9071    0.550818    
1    1998    254    -19738.1    -13.4837    27.7265    27.1683    29.5103    0.673054    
1    2000    255    -19739    -16.0893    28.7925    27.3465    26.959    0.622639    
